num,fips,date_range_start,weighted_average
3,06013,2020-01-04,11929.393425967899
4,06013,2020-01-11,11948.876263169575
5,06013,2020-01-18,12606.183322009629
6,06013,2020-01-25,12291.701698868403
7,06013,2020-02-01,11797.097144854903
8,06013,2020-02-08,12170.054013474912
9,06013,2020-02-15,13222.995191285461
10,06013,2020-02-22,12309.571616975423
11,06013,2020-02-29,11674.940475970376
12,06013,2020-03-07,10855.852788791446
13,06013,2020-03-14,8271.486257461645
14,06013,2020-03-21,7238.850135896104
15,06013,2020-03-28,6547.097099539667
16,06013,2020-04-04,5883.8237136658145
17,06013,2020-04-11,6147.365942121675
18,06013,2020-04-18,6601.549555070345
19,06013,2020-04-25,6899.40928859871
20,06013,2020-05-02,6811.225126744278
21,06013,2020-05-09,7400.343469554558
22,06013,2020-05-16,7538.332377256268
23,06013,2020-05-23,8430.155875083643
24,06013,2020-05-30,8379.051104742503
25,06013,2020-06-06,9181.61312426461
26,06013,2020-06-13,9429.39772047877
27,06013,2020-06-20,9773.393979587685
28,06013,2020-06-27,10208.848670367597
29,06013,2020-07-04,10207.028794163407
30,06013,2020-07-11,9837.254943863994
31,06013,2020-07-18,9935.682785747229
32,06013,2020-07-25,10141.356076529151
33,06013,2020-08-01,9878.628838071605
34,06013,2020-08-08,9658.23023163758
35,06013,2020-08-15,9539.914687160992
36,06013,2020-08-22,9314.585549555879
37,06013,2020-08-29,9575.11288600811
38,06013,2020-09-05,9524.36112852006
39,06013,2020-09-12,8832.376858078585
40,06013,2020-09-19,9350.316646535774
41,06013,2020-09-26,9698.233198216703
42,06013,2020-10-03,9354.975463033627
43,06013,2020-10-10,9394.592419514052
44,06013,2020-10-17,9415.506820684557
45,06013,2020-10-24,9325.787792970066
46,06013,2020-10-31,9202.010536795096
47,06013,2020-11-08,9019.04893283392
1,06015,2019-12-21,10441.491469316608
2,06015,2019-12-28,10270.312671004725
3,06015,2020-01-04,10051.147004802473
4,06015,2020-01-11,10160.369479184923
5,06015,2020-01-18,11431.663199973662
6,06015,2020-01-25,10605.417183429434
7,06015,2020-02-01,10851.183759202859
8,06015,2020-02-08,10874.116171926367
9,06015,2020-02-15,11495.290240854449
10,06015,2020-02-22,10594.280747141873
11,06015,2020-02-29,11091.466589714488
12,06015,2020-03-07,11114.056232487266
13,06015,2020-03-14,8881.278231851496
14,06015,2020-03-21,7965.087820538218
15,06015,2020-03-28,7052.0608718469275
16,06015,2020-04-04,6808.2241645373815
17,06015,2020-04-11,7145.800019849874
18,06015,2020-04-18,7289.834204609483
19,06015,2020-04-25,7801.527593853169
20,06015,2020-05-02,8169.722786371427
21,06015,2020-05-09,7779.596222319864
22,06015,2020-05-16,8493.90508769985
23,06015,2020-05-23,9354.960650318275
24,06015,2020-05-30,9505.808833643272
25,06015,2020-06-06,9036.892022356575
26,06015,2020-06-13,9433.943465516253
27,06015,2020-06-20,10406.213007741066
